supplier-id,kem-id,sticker,quantity,description
02S6840360-00,IN02S6840360-00,02S6840360-00_0805_680NF_10%.btw,3000,SMD CAP 0805 684K/25V X7R -55~125°C ±10%
04S2206201-20,IN04S2206201-20,04S2206201-20_SMBJ22CA.btw,3000,SMD TVS DIODE SMBJ22CA(24.4-26.9V) -65~150°C SMB(DO-214AA) Packing:Reel
04S3620001-21,IN04S3620001-21,04S3620001-21_B5G3600-C.btw,3000,SMD GAS DISCHARGE TUBE B5G3600-C(2880~4320V) 6.0*5.5*5.5 -40~125°CSMD Packing:Reel
05S1080001-18,IN05S1080001-18,05S1080001-18_EFM108.btw,3000,SMD U-FAST DIODE EFM108 1A/600V VF=1.7Vmax(IF=1A) -50~150°C DO-214AC Packing:Reel
05S1150001-18,IN05S1150001-18,05S1150001-18_SM11150A.btw,3000,#N/A
05S4148001-41,IN05S4148001-41,05S4148001-41_1N4148WS.btw,3000,SMD SWITCHING DIODE 1N4148WS 0.15A/75V VF=1.25Vmax(IF=0.15A) 125°C SOD-323 Packing:Reel
05S4700001-18,IN05S4700001-18,05S4700001-18_FM407.btw,3000,SMD RECTIFIER DIODE FM407 1A/1KV VF=1.1Vmax(IF=1A) -50-150°C DO-214AC Packing:Reel
05S5252100-18,IN05S5252100-18,05S5252100-18_LMSZ5252BT1G.btw,3000,SMD ZENER DIODE 24V 1/2W SOD-123 Packing:Reel
05S5264000-18,IN05S5264000-18,05S5264000-18_LMSZ5264BT1G.btw,3000,SMD ZENER DIODE LMSZ5264BT1G 60(57~63)V -50~150°C 1/2W SOD-123 Packing:Reel
06S5506501-42,IN06S5506501-42,06S5506501-42_CRJD550N65G2.btw,2500,SMD N-MOS CRJD550N65G2 8A/600V RDS(on)=0.55Omax(ID=4A) -55~150°C TO-252 Packing:Reel
06S6036001-07,IN06S6036001-07,06S6036001-07_IPD60R360P7S.btw,2500,#N/A
06S6055001-40,IN06S6055001-40,06S6055001-40_NCEP6055AGU.btw,2500,SMD N- CHANNEL MOSFET NCEP6055AGU 55A/60V RDS(on)=7.5mOmax(ID=25A) -55~150°C DFN5*6-8L Packing:Reel
06S7652002-23,IN06S7652002-23,06S7652002-23_SVSP7N65DD2TR.btw,2500,SMD N-MOS SVSP7N65DD2TR 7A/600V RDS(on)=0.64Omax(ID=3.5A) -55~150°CTO-252-2L Packing:Reel
06S8045701-07,IN06S8045701-07,06S8045701-07_SP001422632.btw,2500,SMD MOS IPD80R4K5P7 1.5A/800V RDS(on)=4.5Omax(ID=0.4A) -55~150°C TO-252(DPAK) Packing:Reel
07S3008201-02,IN07S3008201-02,07S3008201-02_NCL30082DDR2G.btw,2500,SMD IC NCL30082DDR2G -40~125°CSOIC-8 Packing:Reel
01S1501110-00,IN01S1501110-00,01S1501110-00_1206_1K5_1%.btw,5000,RES SMD 1206 1.5K 1/4W 1% -55~155°C
01S1803110-00,IN01S1803110-00,01S1803110-00_1206 180K 14W 1%.btw,5000,SMD RES 1206 180K 1/4W 1% -55~155?
04S6010501-16,IN04S6010501-16,04S6010501-16_SB5-A600XHC.btw,3000,SMD GAS DICHARGE TUBE S5B-A600XHC(480~720V) 5*5.4*5.4 -40~125°C SMD Packing:Reel
05S1000004-06,IN05S1000004-06,05S1000004-06_US1M-TP.btw,5000,US1M-TP 1A/1KV VF=1.7Vmax(IF=1A) TRR=75ns -65~150°C SMA(DO-214AC) Packing:Reel
05S5256100-18,IN05S5256100-18,05S5256100-18_LMSZ5256BT1G.btw,3000,LMSZ5256BT1G 30V 1/2W 125? SOD-123 Packing:Reel ALTENATE CODE 05S5256000-06)
01S1201K11-00,IN01S1201K11-00,01S1201K11-00_0402_1K2_1%.btw,10000,RES SMD 0402 1.2K 1/16W 1% -55~155?
01S5603310-00,IN01S5603310-00,01S5603310-00_0603_560K_1%.btw,5000,SMD RES 0603 560K 1/10W 1% -55~155°C
01S1201K11-00,IN01S1201K11-00,01S1201K11-00_0402_1K2_1%.btw,10000,RES SMD 0402 1.2K 1/16W 1% -55~155?
01S7501K11-00,IN01S7501K11-00,01S7501K11-00_0402_7k5_1%.btw,10000,RES SMD 0402 7.5K 1/16W 1% -55~155°C
01S5603310-00,IN01S5603310-00,01S5603310-00_0603_560K_1%.btw,5000,SMD RES 0603 560K 1/10W 1% -55~155°C
02S3321401-37,IN02S3321401-37,02S3321401-37_TGY2332ME.btw,3000,SMD Y2-CAP(TGY2332ME-Y) 332M/300V TL 2E(Y5U) -25~85?(125?) +22/-56% ±20% 6.0*5.4*2.38 Packing:Reel
02S6820530-00,IN02S6820530-00,02S6820530-00_0603_682_10%_50v.btw,5000,SMD CAP 0603 682K/50V X7R -55~125°C±10%
07S2516802-05,IN07S2516802-05,07S2516802-05_ST25DV16K-IER8T3.btw,2500,SMD IC ST25DV16K-IER8T3 -40~125? TSSOP8 Packing:Reel(upgrade)
07S7600301-50,IN07S7600301-50,07S7600301-50_N76E003AT20.btw,2500,SMD IC N76E003AT20 -40~105? TSSOP20 Packing:Reel
01S1102110-00,IN01S1102110-00,01S1102110-00_1206_11k_1%.btw,5000,#N/A
01S1202210-00,IN01S1202210-00,01S1202210-00-0805_12K_1%.btw,5000,RES SMD 0805 12K 1/8W 1% -55~155°C
01S3902210-00,IN01S3902210-00,01S3902210-00_0805_39K_1%.btw,5000,RES SMD 0805 39K 1/8W 1% -55~155°C
01S6200210-00,IN01S6200210-00,01S6200210-00_0805_620 OHM_1%.btw,5000,RES SMD 0805 620R 1/8W 1% -55~155°C
06S5616000-10,IN06S5616000-10,06S5616000-10_BCX56-16T.btw,2500,SMD TRANSISTOR BCX56-16TF 1A/80V NPN 150°C SOT-89 Packing:Reel
07S3930001-49,IN07S3930001-49,07S3930001-49_LM393A.btw,2500,CHIP Voltage Comparators IC LM393A-SR -40~125? SO-8 Packing:Reel
07G2904000-07,IN07G2904000-07,07G2904000-07_LM2904DR.btw,2500,"SMD OPERATIONAL AMPLIFIER IC, LM2904DR SO-8 Packing:Reel"
06S7002001-10,IN06S7002001-10,06S7002001-10_NX7002BK.btw,2500,#N/A
06S6955001-05,IN06S6955001-05,06S6955001-05_STD6N95K5.btw,2500,#N/A
